18,Starbucks,Coffee Shop,6501 California Ave,,47.54473647785394,-122.38748098527505,"[{'label': 'display', 'lat': 47.54473647785394, 'lng': -122.38748098527505}]",1031,98136,US,Seattle,WA,United States,"['6501 California Ave', 'Seattle, WA 98136', 'United States']",4a859e9df964a520aefe1fe3,test
19,Realfine Coffee,Coffee Shop,4480 Fauntleroy Way SW,,47.56346470978289,-122.37839569780942,"[{'label': 'display', 'lat': 47.56346470978289, 'lng': -122.37839569780942}]",2785,,US,West Seattle,WA,United States,"['4480 Fauntleroy Way SW', 'West Seattle, WA', 'United States']",566e0a00498e50a39f8c4882,test
20,Pearls Tea & Coffee,Coffee Shop,4800 Delridge Way SW,at SW Edmunds St,47.55913770397823,-122.36276551798903,"[{'label': 'display', 'lat': 47.55913770397823, 'lng': -122.36276551798903}]",2551,98106,US,Seattle,WA,United States,"['4800 Delridge Way SW (at SW Edmunds St)', 'Seattle, WA 98106', 'United States']",4a9dc3ecf964a5204e3920e3,test
21,The Coffee Pot,Dog Run,4201 SW 109th St,,47.5051436541641,-122.3845221663412,"[{'label': 'display', 'lat': 47.5051436541641, 'lng': -122.3845221663412}]",3746,98146,US,Seattle,WA,United States,"['4201 SW 109th St', 'Seattle, WA 98146', 'United States']",4e2f829518a8ea95b0a77f06,test
22,Coffee Lavazza Distr,Food,126 S Spokane St,,47.572053000000004,-122.332898,"[{'label': 'display', 'lat': 47.572053000000004, 'lng': -122.332898}]",5016,98134,US,Seattle,WA,United States,"['126 S Spokane St', 'Seattle, WA 98134', 'United States']",4f43f95019836ed00191802d,test
23,Coffee Of The Islands 5NE,Conference Room,,,47.581382,-122.335762,"[{'label': 'display', 'lat': 47.581382, 'lng': -122.335762}]",5711,,US,Seattle,WA,United States,"['Seattle, WA', 'United States']",5187d270498e3c5f20eb49d3,test
24,Coffee Clubhouse On Eight,,,,47.581397,-122.335859,"[{'label': 'display', 'lat': 47.581397, 'lng': -122.335859}]",5708,98134,US,Seattle,WA,United States,"['Seattle, WA 98134', 'United States']",4cd4360b08f48cfa0331a585,test
25,Starbucks,Coffee Shop,9620 28th Ave SW,in Safeway,47.516686,-122.36663,"[{'label': 'display', 'lat': 47.516686, 'lng': -122.36663}]",2554,98126,US,Seattle,WA,United States,"['9620 28th Ave SW (in Safeway)', 'Seattle, WA 98126', 'United States']",4c55d62006901b8d3129244e,test
26,Starbucks,Coffee Shop,4408 Fauntleroy Way SW,,47.564254613869274,-122.3769033125055,"[{'label': 'display', 'lat': 47.564254613869274, 'lng': -122.3769033125055}]",2872,98126,US,Seattle,WA,United States,"['4408 Fauntleroy Way SW', 'Seattle, WA 98126', 'United States']",4ac4c821f964a520fb9e20e3,test
27,Starbucks HQ,Coffee Shop,2401 Utah Ave S,at S Lander St,47.58058374,-122.3353778,"[{'label': 'display', 'lat': 47.58058374, 'lng': -122.3353778}]",5652,98134,US,Seattle,WA,United States,"['2401 Utah Ave S (at S Lander St)', 'Seattle, WA 98134', 'United States']",4401c81cf964a52024301fe3,test
28,Starbucks,Coffee Shop,2500 SW Barton,at 25th Ave,47.522233,-122.365665,"[{'label': 'display', 'lat': 47.522233, 'lng': -122.365665}]",2008,98199,US,Seattle,WA,United States,"['2500 SW Barton (at 25th Ave)', 'Seattle, WA 98199', 'United States']",4a451ff5f964a520d6a71fe3,test
29,Coffee2ATea,,,,47.559736,-122.384289,"[{'label': 'display', 'lat': 47.559736, 'lng': -122.384289}]",2425,,US,,Washington,United States,"['Washington', 'United States']",4d23806753e4a09378cf7f77,test
30,Cecilia's Coffee Cup,Coffee Shop,551 S Michigan St,,47.546118,-122.326982,"[{'label': 'display', 'lat': 47.546118, 'lng': -122.326982}]",3882,98108,US,Seattle,WA,United States,"['551 S Michigan St', 'Seattle, WA 98108', 'United States']",4f3229b719836c91c7bc5c3e,test
31,The Daily Coffee,Coffee Shop,5400 E Marginal Way S,,47.55395,-122.336554,"[{'label': 'display', 'lat': 47.55395, 'lng': -122.336554}]",3519,98134,US,Seattle,WA,United States,"['5400 E Marginal Way S', 'Seattle, WA 98134', 'United States']",50887289e4b008b0a9e9501a,test
32,Fulcrum Coffee,Coffee Shop,4660 Ohio Ave S,,47.560941,-122.337479,"[{'label': 'display', 'lat': 47.560941, 'lng': -122.337479}]",3906,98134,US,Seattle,WA,United States,"['4660 Ohio Ave S', 'Seattle, WA 98134', 'United States']",5a4c145318d43b4d323d9b5d,test
33,Bean Collection Coffee,Food,309 S Cloverdale St,,47.526612,-122.330736,"[{'label': 'display', 'lat': 47.526612, 'lng': -122.330736}]",3745,98108,US,Seattle,WA,United States,"['309 S Cloverdale St', 'Seattle, WA 98108', 'United States']",4f3229ff19836c91c7bc78e6,test
34,The Daily Coffee & Tea Co.,Coffee Shop,,,47.553978,-122.33689,"[{'label': 'display', 'lat': 47.553978, 'lng': -122.33689}]",3499,,US,Seattle,WA,United States,"['Seattle, WA', 'United States']",53761c1111d2fea063c3dac9,test
35,Shack Coffee,Coffee Shop,2920 SW Avalon Way,at W Seattle Bridge,47.57046424077133,-122.37086215171948,"[{'label': 'display', 'lat': 47.57046424077133, 'lng': -122.37086215171948}]",3597,98126,US,Seattle,WA,United States,"['2920 SW Avalon Way (at W Seattle Bridge)', 'Seattle, WA 98126', 'United States']",4a6209a8f964a520e0c21fe3,test
36,Fonté Coffee Roaster,Coffee Shop,,,47.5516441091895,-122.326544048265,"[{'label': 'display', 'lat': 47.5516441091895, 'lng': -122.326544048265}]",4092,,US,Seattle,WA,United States,"['Seattle, WA', 'United States']",51e46150498ee19ab01fcd4a,test
37,The Vape Shack Coffee,Vape Store,8524 14th Ave S.,14th and Cloverdale,47.52665688753499,-122.32320685241098,"[{'label': 'display', 'lat': 47.52665688753499, 'lng': -122.32320685241098}]",4278,98108,US,Burien,WA,United States,"['8524 14th Ave S. (14th and Cloverdale)', 'Burien, WA 98108', 'United States']",5202bb11498e9e8e01ff62c5,test
38,Fonte Coffee,Coffee Shop,5513 6th Ave S,,47.553017,-122.32734199999999,"[{'label': 'display', 'lat': 47.553017, 'lng': -122.32734199999999}]",4095,98108,US,Seattle,WA,United States,"['5513 6th Ave S', 'Seattle, WA 98108', 'United States']",4f32983419836c91c7e70e40,test
39,Sleepless Coffee Headquarters,Coffee Shop,420 S 96th St,,47.51723,-122.329156,"[{'label': 'display', 'lat': 47.51723, 'lng': -122.329156}]",4327,98108,US,Seattle,WA,United States,"['420 S 96th St', 'Seattle, WA 98108', 'United States']",4f326f2d19836c91c7d770c4,test
